,followers,following,accountreputation,CDFx,CDFy
0,234,77,0.752411575563,0.0,0.0
1,1171,2115,0.356360316494,0.0,0.00434782608696
2,1,3,0.25,0.016393442623,0.00869565217391
3,85,597,0.124633431085,0.0446428571429,0.0130434782609
4,1095,1827,0.374743326489,0.0569620253165,0.0173913043478
5,61,394,0.134065934066,0.0630081300813,0.0217391304348
6,135,1097,0.109577922078,0.0681818181818,0.0260869565217
7,11,43,0.203703703704,0.0829087540528,0.0304347826087
8,39,91,0.3,0.0954128440367,0.0347826086957
9,426,1598,0.2104743083,0.0974440894569,0.0391304347826
10,1506,4972,0.232479160235,0.1,0.0434782608696
11,467,868,0.349812734082,0.103773584906,0.0478260869565
12,188,386,0.327526132404,0.109090909091,0.0521739130435
13,1,60,0.016393442623,0.109577922078,0.0565217391304
14,42,88,0.323076923077,0.111111111111,0.0608695652174
15,429,89,0.828185328185,0.116379310345,0.0652173913043
16,969,4882,0.165612715775,0.117505995204,0.0695652173913
17,1829,5002,0.267749963402,0.120554272517,0.0739130434783
18,31,461,0.0630081300813,0.124,0.0782608695652
19,179,1980,0.0829087540528,0.124633431085,0.0826086956522
20,95,111,0.461165048544,0.133884297521,0.0869565217391
21,138,134,0.507352941176,0.134065934066,0.0913043478261
22,61,130,0.319371727749,0.139150943396,0.095652173913
23,5,107,0.0446428571429,0.142600896861,0.1
24,0,2,0.0,0.143939393939,0.104347826087
25,129,283,0.313106796117,0.147058823529,0.108695652174
26,54651,53845,0.503714422652,0.150246305419,0.113043478261
27,206,189,0.521518987342,0.154266211604,0.117391304348
28,122,690,0.150246305419,0.154658100046,0.121739130435
29,11275,13458,0.455868677475,0.159574468085,0.126086956522
30,98,736,0.117505995204,0.160435399905,0.130434782609
31,3,24,0.111111111111,0.16393442623,0.134782608696
32,197,606,0.245330012453,0.165612715775,0.139130434783
33,16436,9794,0.626610751048,0.181034482759,0.14347826087
34,78,177,0.305882352941,0.183311140701,0.147826086957
35,89,271,0.247222222222,0.191111111111,0.152173913043
36,40,204,0.16393442623,0.198751800288,0.15652173913
37,6,5,0.545454545455,0.20202020202,0.160869565217
38,1571,868,0.644116441164,0.202173913043,0.165217391304
39,4,13,0.235294117647,0.203389830508,0.169565217391
40,130,394,0.248091603053,0.203703703704,0.173913043478
41,46,139,0.248648648649,0.2104743083,0.178260869565
42,118,730,0.139150943396,0.211212516297,0.182608695652
43,76,149,0.337777777778,0.211356466877,0.186956521739
44,39,67,0.367924528302,0.2122514777,0.191304347826
45,296,434,0.405479452055,0.214628297362,0.195652173913
46,197,567,0.257853403141,0.21875,0.2
47,333,549,0.377551020408,0.219424460432,0.204347826087
48,1625,3890,0.294650951949,0.219696969697,0.208695652174
49,11,95,0.103773584906,0.223443223443,0.213043478261
50,193,348,0.35674676525,0.232479160235,0.217391304348
51,3,41,0.0681818181818,0.233958969882,0.221739130435
52,84,329,0.203389830508,0.235294117647,0.226086956522
53,146276,79854,0.646866846504,0.238095238095,0.230434782609
54,9,149,0.0569620253165,0.240343347639,0.234782608696
55,63,187,0.252,0.240506329114,0.239130434783
56,192,87,0.688172043011,0.240913811007,0.24347826087
57,74,173,0.2995951417,0.242424242424,0.247826086957
58,3163,3482,0.475996990218,0.245330012453,0.252173913043
59,261,1904,0.120554272517,0.245535714286,0.25652173913
60,1681,1728,0.49310648284,0.247222222222,0.260869565217
61,15,79,0.159574468085,0.248091603053,0.265217391304
62,447,131,0.773356401384,0.248648648649,0.269565217391
63,150,326,0.31512605042,0.25,0.273913043478
64,656,1845,0.262295081967,0.25,0.278260869565
65,556,1333,0.294335627316,0.252,0.282608695652
66,10,32,0.238095238095,0.254879000781,0.286956521739
67,827,1874,0.306182895224,0.257166257166,0.291304347826
68,2954,3425,0.463081987772,0.257853403141,0.295652173913
69,337,1842,0.154658100046,0.257943925234,0.3
70,159,217,0.422872340426,0.260336906585,0.304347826087
